"a","b","y"
"a3","b1",1.37451959511085
"a3","b2",1.71093239957068
"a3","b1",1.50684377916944
"a3","b1",1.44098545842274
"a3","b2",1.48118321218594
"a2","b2",-0.746609707475792
"a1","b2",2.42695404577185
"a2","b1",1.0340945063378
"a1","b1",0.504305268311514
"a3","b2",1.55220064309308
"a2","b1",1.02387233657952
"a2","b1",1.10502070439055
"a2","b1",1.26929716287883
"a2","b1",1.4591907991851
"a3","b1",1.08155075926927
"a2","b1",1.4473602778569
"a1","b1",0.281911582221918
"a1","b2",1.95965812888218
"a3","b2",1.49638343786347
"a3","b2",1.5854047501918
"a1","b1",0.427678215290387
"a2","b1",1.40299755398429
"a1","b1",0.389841356283969
"a1","b1",0.867220673537538
"a2","b2",-0.567335597674371
"a3","b2",1.80767587280764
"a2","b2",-0.678154072785568
"a3","b2",1.95762539654719
"a2","b1",2.03645233197584
"a3","b2",1.54824168988381
"a1","b2",1.91120663063991
"a3","b1",1.31650115335828
"a2","b2",-0.604786322237533
"a3","b2",1.50623144392095
"a3","b1",1.59063572884107
"a3","b2",1.48042004596336
"a1","b2",1.97535461598946
"a1","b1",1.02368478388558
"a2","b1",1.52608174764279
"a1","b2",2.05535024870637
"a1","b1",0.429424372001774
"a1","b1",0.209486457513412
"a2","b1",1.36802382439947
"a1","b1",1.03252040159451
"a3","b2",1.91582326379199
"a1","b1",0.838431430074568
"a1","b1",0.917140388309547
"a3","b2",1.771900706236
"a1","b1",0.593688724096402
"a1","b2",1.60875594163481
"a2","b2",-0.978117698430343
"a2","b1",1.24580690030637
"a2","b2",-0.80497980531417
"a1","b1",1.16700266516914
"a1","b2",2.04664701007542
"a3","b2",1.44972117618077
"a1","b1",0.623047995669795
"a3","b1",1.65359858623105
"a2","b1",1.21855960217457
"a3","b1",1.37450009750987
"a3","b2",1.21374915969624
"a1","b2",2.19222576652773
"a3","b2",1.45316359975842
"a3","b1",1.45509142420277
"a2","b1",1.16047698674085
"a1","b1",0.283994548793553
"a2","b2",-0.665902752425786
"a2","b2",-0.571046902733172
"a2","b1",0.99633544594173
"a1","b1",1.0572899702353
"a3","b2",2.0524571354119
"a3","b1",1.34844463310526
"a3","b1",0.972509893002145
"a2","b2",-0.86700142220907
"a3","b1",1.19652824435142
"a2","b1",1.37977778945726
"a2","b2",-0.854140510633149
"a2","b1",1.48498637225519
"a1","b1",0.687781937500745
"a2","b1",1.38415095766024
"a3","b2",1.52576477895118
"a2","b2",-0.93941661914832
"a3","b1",1.28388739638575
"a2","b1",0.513441265204306
"a2","b2",-0.903066126163629
"a2","b1",1.59273216042408
"a3","b1",1.52676009672483
"a2","b1",1.36301734104717
"a3","b2",1.27776914365894
"a2","b2",-0.601761763008577
"a2","b1",1.41869728877975
"a2","b1",1.48503117317299
"a2","b2",0.0496989726991202
"a1","b2",2.20282708404635
"a1","b2",2.15164406590834
"a3","b2",1.13847096619926
"a3","b2",1.53310568157405
"a3","b1",1.50294939421151
"a2","b1",1.3672459163075
"a2","b2",-0.957626902114956
